episode,return,steps,epsilon,avg_mastery,frac_mastery3,mastered_hard,mastered_soft
291,571.9999999999987,100,0.08342977346509166,1.0,0.3333333333333333,0,0
292,405.9999999999995,100,0.08317948414469638,1.3333333333333333,0.3333333333333333,0,0
293,643.9999999999987,100,0.0829299456922623,1.3333333333333333,0.3333333333333333,0,0
294,418.9999999999994,100,0.08268115585518551,2.3333333333333335,0.3333333333333333,0,0
295,631.999999999999,100,0.08243311238761995,1.0,0.3333333333333333,0,0
296,620.999999999999,100,0.0821858130504571,1.3333333333333333,0.3333333333333333,0,0
297,527.9999999999993,100,0.08193925561130572,1.3333333333333333,0.3333333333333333,0,0
298,516.999999999999,100,0.0816934378444718,2.0,0.6666666666666666,0,0
299,577.9999999999993,100,0.08144835753093839,1.0,0.3333333333333333,0,0
300,634.9999999999993,100,0.08120401245834558,0.6666666666666666,0.0,0,0
301,629.9999999999991,100,0.08096040042097054,1.0,0.3333333333333333,0,0
302,533.9999999999993,100,0.08071751921970763,1.3333333333333333,0.3333333333333333,0,0
303,758.9999999999989,100,0.0804753666620485,1.3333333333333333,0.3333333333333333,0,0
304,731.9999999999986,100,0.08023394056206236,1.0,0.3333333333333333,0,0
305,617.9999999999986,100,0.07999323874037617,1.0,0.3333333333333333,0,0
306,432.9999999999992,100,0.07975325902415505,2.0,0.6666666666666666,0,0
307,617.9999999999991,100,0.07951399924708258,1.3333333333333333,0.3333333333333333,0,0
308,692.9999999999992,100,0.07927545724934133,1.0,0.3333333333333333,0,0
309,527.9999999999989,100,0.07903763087759332,2.0,0.6666666666666666,0,0
310,486.9999999999989,100,0.07880051798496053,2.0,0.6666666666666666,0,0
311,723.999999999999,100,0.07856411643100565,1.0,0.3333333333333333,0,0
312,386.99999999999955,100,0.07832842408171263,2.0,0.6666666666666666,0,0
313,621.9999999999991,100,0.0780934388094675,1.0,0.3333333333333333,0,0
314,557.9999999999993,100,0.0778591584930391,1.0,0.3333333333333333,0,0
315,441.99999999999926,100,0.07762558101755998,1.3333333333333333,0.3333333333333333,0,0
316,371.99999999999926,100,0.0773927042745073,1.0,0.3333333333333333,0,0
317,430.9999999999993,100,0.07716052616168377,1.3333333333333333,0.3333333333333333,0,0
318,423.9999999999995,100,0.07692904458319871,1.6666666666666667,0.3333333333333333,0,0
319,501.9999999999989,100,0.07669825744944912,1.3333333333333333,0.3333333333333333,0,0
320,536.999999999999,100,0.07646816267710077,1.3333333333333333,0.3333333333333333,0,0
321,531.9999999999992,100,0.07623875818906947,1.3333333333333333,0.3333333333333333,0,0
322,488.99999999999955,100,0.07601004191450227,1.6666666666666667,0.3333333333333333,0,0
323,622.999999999999,100,0.07578201178875876,1.3333333333333333,0.3333333333333333,0,0
324,650.9999999999992,100,0.07555466575339248,1.0,0.3333333333333333,0,0
325,610.999999999999,100,0.0753280017561323,1.3333333333333333,0.3333333333333333,0,0
326,388.9999999999992,100,0.0751020177508639,1.6666666666666667,0.3333333333333333,0,0
327,512.9999999999991,100,0.07487671169761131,1.3333333333333333,0.3333333333333333,0,0
328,438.9999999999991,100,0.07465208156251849,1.3333333333333333,0.3333333333333333,0,0
329,384.99999999999966,100,0.07442812531783093,1.0,0.3333333333333333,0,0
330,513.9999999999992,100,0.07420484094187743,1.0,0.3333333333333333,0,0
331,390.99999999999926,100,0.0739822264190518,1.3333333333333333,0.3333333333333333,0,0
332,593.999999999999,100,0.07376027973979465,1.0,0.3333333333333333,0,0
333,425.9999999999995,100,0.07353899890057528,1.0,0.3333333333333333,0,0
334,482.999999999999,100,0.07331838190387355,2.3333333333333335,0.6666666666666666,0,0
335,619.999999999999,100,0.07309842675816193,1.0,0.3333333333333333,0,0
336,635.9999999999989,100,0.07287913147788744,1.6666666666666667,0.3333333333333333,0,0
337,653.9999999999987,100,0.07266049408345378,1.0,0.3333333333333333,0,0
338,531.9999999999991,100,0.07244251260120342,1.3333333333333333,0.3333333333333333,0,0
339,620.9999999999987,100,0.07222518506339981,1.0,0.3333333333333333,0,0
340,718.999999999999,100,0.07200850950820961,1.0,0.3333333333333333,0,0
341,552.9999999999993,100,0.07179248397968498,1.6666666666666667,0.3333333333333333,0,0
342,687.9999999999987,100,0.07157710652774592,1.0,0.3333333333333333,0,0
343,736.9999999999987,100,0.07136237520816267,0.6666666666666666,0.0,0,0
344,361.99999999999926,100,0.07114828808253819,2.0,0.6666666666666666,0,0
