seed,algo,episode,steps_to_mastery,total_reward
9,Random,46,6,38.4
9,Random,47,8,34.2
9,Random,48,5,35.5
9,Random,49,10,25.0
9,SARSA,0,17,95.3
9,SARSA,1,35,202.5
9,SARSA,2,40,335.0
9,SARSA,3,14,56.6
9,SARSA,4,40,207.0
9,SARSA,5,40,137.0
9,SARSA,6,16,62.4
9,SARSA,7,4,37.6
9,SARSA,8,40,143.0
9,SARSA,9,32,107.8
9,SARSA,10,10,77.0
9,SARSA,11,11,64.9
9,SARSA,12,9,39.1
9,SARSA,13,40,264.0
9,SARSA,14,40,241.0
9,SARSA,15,40,144.0
9,SARSA,16,13,44.7
9,SARSA,17,40,130.0
9,SARSA,18,28,116.2
9,SARSA,19,15,63.5
9,SARSA,20,30,122.0
9,SARSA,21,40,144.0
9,SARSA,22,12,76.8
9,SARSA,23,40,175.0
9,SARSA,24,20,94.0
9,SARSA,25,31,118.9
9,SARSA,26,40,187.0
9,SARSA,27,40,165.0
9,SARSA,28,7,45.3
9,SARSA,29,40,128.0
9,SARSA,30,40,144.0
9,SARSA,31,40,165.0
9,SARSA,32,40,130.0
9,SARSA,33,7,47.3
9,SARSA,34,8,36.2
9,SARSA,35,40,260.0
9,SARSA,36,17,47.3
9,SARSA,37,14,67.6
9,SARSA,38,40,172.0
9,SARSA,39,30,183.0
9,SARSA,40,35,202.5
9,SARSA,41,40,39.0
9,SARSA,42,8,39.2
